item,image_url,category
Veg Biryani,https://images.unsplash.com/photo-1563379091339-03b21ab4a4f8?w=500,Main Course
Chicken Biryani,https://images.unsplash.com/photo-1589302168068-964664d93dc0?w=500,Main Course
Raita,https://images.unsplash.com/photo-1631515243349-e0cb75fb8d3a?w=500,Side
Masala Papad,https://images.unsplash.com/photo-1601050690597-df0568f70950?w=500,Side
Coke,https://images.unsplash.com/photo-1554866585-cd94860890b7?w=500,Beverage
Pepsi,https://images.unsplash.com/photo-1629203851122-3726ecdf080e?w=500,Beverage
Pizza,https://images.unsplash.com/photo-1565299624946-b28f40a0ae38?w=500,Main Course
Garlic Bread,https://images.unsplash.com/photo-1573140247632-f8fd74997d5c?w=500,Side
Burger,https://images.unsplash.com/photo-1568901346375-23c9450c58cd?w=500,Main Course
Fries,https://images.unsplash.com/photo-1541592106381-b31e9677c0e5?w=500,Side
