order_id,items
1,"Veg Biryani,Raita,Coke"
2,"Veg Biryani,Raita"
3,"Veg Biryani,Masala Papad,Coke"
4,"Veg Biryani,Raita,Masala Papad"
5,"Chicken Biryani,Coke"
6,"Chicken Biryani,Raita"
7,"Pizza,Garlic Bread,Pepsi"
8,"Pizza,Garlic Bread"
9,"Burger,Fries,Coke"
10,"Burger,Fries"
11,"Burger,Coke"
12,"Veg Biryani,Coke"
13,"Veg Biryani,Raita,Coke,Masala Papad"
14,"Pizza,Pepsi"
15,"Chicken Biryani,Coke,Raita"
16,"Burger,Fries,Pepsi"
17,"Veg Biryani,Raita,Coke"
18,"Veg Biryani,Raita"
19,"Pizza,Garlic Bread,Pepsi"
20,"Burger,Fries"
